,tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,co2
0,2021-01-01,DKI5 (Kebon Jeruk) Jakarta Barat,37,76,20,12,25,4,37,PM10,1488
1,2021-01-02,DKI5 (Kebon Jeruk) Jakarta Barat,33,76,18,20,64,6,64,CO,2480
2,2021-01-03,DKI5 (Kebon Jeruk) Jakarta Barat,42,76,15,10,62,3,62,CO,1240
3,2021-01-04,DKI5 (Kebon Jeruk) Jakarta Barat,27,76,14,7,31,4,31,CO,868
4,2021-01-05,DKI5 (Kebon Jeruk) Jakarta Barat,41,76,15,9,28,5,41,PM10,1116
5,2021-01-06,DKI5 (Kebon Jeruk) Jakarta Barat,33,76,12,19,46,6,46,CO,2356
6,2021-01-07,DKI5 (Kebon Jeruk) Jakarta Barat,27,76,13,11,36,7,36,CO,1364
7,2021-01-08,DKI5 (Kebon Jeruk) Jakarta Barat,36,76,18,19,28,8,36,PM10,2356
8,2021-01-09,DKI5 (Kebon Jeruk) Jakarta Barat,46,76,17,26,27,12,46,PM10,3224
9,2021-01-10,DKI5 (Kebon Jeruk) Jakarta Barat,19,76,20,8,34,5,34,CO,992
10,2021-01-11,DKI5 (Kebon Jeruk) Jakarta Barat,33,76,21,10,34,9,34,CO,1240
11,2021-01-12,DKI5 (Kebon Jeruk) Jakarta Barat,25,76,22,6,38,6,38,CO,744
12,2021-01-13,DKI5 (Kebon Jeruk) Jakarta Barat,25,76,20,5,27,9,27,CO,620
13,2021-01-14,DKI5 (Kebon Jeruk) Jakarta Barat,32,76,17,8,36,7,36,CO,992
14,2021-01-15,DKI5 (Kebon Jeruk) Jakarta Barat,52,76,15,15,41,7,52,PM10,1860
15,2021-01-16,DKI5 (Kebon Jeruk) Jakarta Barat,47,76,18,12,37,8,37,CO,1488
16,2021-01-17,DKI5 (Kebon Jeruk) Jakarta Barat,47,76,20,15,32,9,32,CO,1860
17,2021-01-18,DKI5 (Kebon Jeruk) Jakarta Barat,47,76,22,8,31,4,31,CO,992
18,2021-01-19,DKI5 (Kebon Jeruk) Jakarta Barat,29,76,14,6,35,5,35,CO,744
19,2021-01-20,DKI5 (Kebon Jeruk) Jakarta Barat,30,76,15,7,33,6,33,CO,868
20,2021-01-21,DKI5 (Kebon Jeruk) Jakarta Barat,43,76,16,15,37,8,43,PM10,1860
21,2021-01-22,DKI5 (Kebon Jeruk) Jakarta Barat,45,76,21,13,40,15,45,PM10,1612
22,2021-01-23,DKI5 (Kebon Jeruk) Jakarta Barat,80,76,22,44,44,22,80,PM10,5456
23,2021-01-24,DKI5 (Kebon Jeruk) Jakarta Barat,27,76,14,9,29,23,29,CO,1116
24,2021-01-25,DKI5 (Kebon Jeruk) Jakarta Barat,55,76,19,29,67,13,67,CO,3596
25,2021-01-26,DKI5 (Kebon Jeruk) Jakarta Barat,57,76,21,23,36,16,57,PM10,2852
26,2021-01-27,DKI5 (Kebon Jeruk) Jakarta Barat,15,76,16,5,20,17,20,CO,620
27,2021-01-28,DKI5 (Kebon Jeruk) Jakarta Barat,28,76,19,11,28,18,28,PM10,1364
28,2021-01-29,DKI5 (Kebon Jeruk) Jakarta Barat,30,76,22,10,32,11,32,CO,1240
29,2021-01-30,DKI5 (Kebon Jeruk) Jakarta Barat,24,76,17,8,27,10,27,CO,992
30,2021-01-31,DKI5 (Kebon Jeruk) Jakarta Barat,41,76,17,19,29,8,41,PM10,2356
31,2021-02-01,DKI5 (Kebon Jeruk) Jakarta Barat,70,126,29,26,15,34,126,PM25,3224
32,2021-02-02,DKI5 (Kebon Jeruk) Jakarta Barat,47,55,28,9,14,25,55,PM25,1116
33,2021-02-03,DKI5 (Kebon Jeruk) Jakarta Barat,23,40,27,5,16,10,40,PM25,620
